"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @LegalEagleStar: He did indeed Breda. Abolition of #IrishWater was an election promise of @fiannafailparty and Michael. https://t.co/hE2…",FALSE,0,NA,2018-03-13 20:04:55,FALSE,NA,"973651136149446656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maggiemai66",13,TRUE,FALSE,NA,NA
"2","RT @LegalEagleStar: He did indeed Breda. Abolition of #IrishWater was an election promise of @fiannafailparty and Michael. https://t.co/hE2…",FALSE,0,NA,2018-03-13 20:00:24,FALSE,NA,"973650001464356864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Pokkiehat",13,TRUE,FALSE,NA,NA
"3","RT @LegalEagleStar: He did indeed Breda. Abolition of #IrishWater was an election promise of @fiannafailparty and Michael. https://t.co/hE2…",FALSE,0,NA,2018-03-13 19:47:59,FALSE,NA,"973646876527472642",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","michael98708523",13,TRUE,FALSE,NA,NA
"4","RT @IrishWater: Today we celebrated the official opening of the new Oughterard Wastewater Treatment Plant with Minister of State for Natura…",FALSE,0,NA,2018-03-13 19:19:23,FALSE,NA,"973639679387095040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SeanKyneTD",5,TRUE,FALSE,NA,NA
"5","RT @IrelandUncut: @HibernianView @declanganley That's what pressure is! NOT paying. Same with #Irishwater taxes.

#NoFeeRTE",FALSE,0,NA,2018-03-13 18:14:54,FALSE,NA,"973623451754876929",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yllekonadnerb",1,TRUE,FALSE,NA,NA
"6","RT @Sea__Solitude: @paulodonoghue93 @geraghty040 DOB should pay for it. Take back the millions FG gave him in bailout money, or make him pa…",FALSE,0,NA,2018-03-13 18:14:47,FALSE,NA,"973623422776434689",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yllekonadnerb",0,TRUE,FALSE,NA,NA
"7","RT @suneilthomas: #simplyabudhabi #AbuDhabi #StPatricksDay #StPatricksDayParade #StPatricksDay2018 #StPaddysDay #ShamrockClassic #Shamrock…",FALSE,0,NA,2018-03-13 18:14:36,FALSE,NA,"973623374067847168",NA,"<a href=""http://www.mywebsite.com"" rel=""nofollow""> Ethereal Heart</a>","EHFoundation237",1,TRUE,FALSE,NA,NA
"8","RT @Ianwalsh79: @EamonRyan Where's your evidence? “There’s little doubt that the current water shortages are being caused mainly by leaks,…",FALSE,0,NA,2018-03-13 18:14:30,FALSE,NA,"973623351435517953",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yllekonadnerb",1,TRUE,FALSE,NA,NA
"9","RT @suneilthomas: #simplyabudhabi #AbuDhabi #StPatricksDay #StPatricksDayParade #StPatricksDay2018 #StPaddysDay #ShamrockClassic #Shamrock…",FALSE,0,NA,2018-03-13 18:13:35,FALSE,NA,"973623121084379136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yllekonadnerb",1,TRUE,FALSE,NA,NA
"10","RT @PaulRumgay: If a high profile Spanish woman spoke about church #mysogyny at a conference in #Rome would this be discussed at such great…",FALSE,0,NA,2018-03-13 18:13:14,FALSE,NA,"973623033511456773",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yllekonadnerb",0,TRUE,FALSE,NA,NA
"11","RT @welgraaf: #irishwater @IrishWater confirmed no restrictions in Dublin 3. We have no cold water. If you effect red. Please call them to…",FALSE,0,NA,2018-03-13 18:13:02,FALSE,NA,"973622983246966786",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yllekonadnerb",0,TRUE,FALSE,NA,NA
